"","target_id","test_stat","pval","qval","rss","sigma_sq","tech_var","mean_obs","var_obs","sigma_sq_pmax","smooth_sigma_sq","final_sigma_sq","degrees_free"
"1","rnd-1_family-297#Unknown",38.1045737121678,2.68599287369767e-08,2.02926761607859e-05,30.3377125111192,4.3278555231915,0.00610340696838675,6.01710422664202,4.33395893015989,4.3278555231915,0.148664685117476,4.3278555231915,3
"2","rnd-4_family-47#LINE/Penelope",38.7083850012447,2.00095633672647e-08,2.02926761607859e-05,23.919515117456,3.39400725690464,0.0230663313033616,4.95833608985258,3.417073588208,3.39400725690464,0.14284805472902,3.39400725690464,3
"3","rnd-1_family-76#LINE/CR1",35.5289540737196,9.41806982040288e-08,2.8423659375775e-05,19.3751043843175,2.75159698735688,0.0162750675456305,5.29345554721646,2.76787205490251,2.75159698735688,0.145423399036411,2.75159698735688,3
"4","rnd-1_family-850#DNA/CMC-EnSpm",35.1569911323949,1.12866946561648e-07,2.8423659375775e-05,10.9061451887031,1.55728622336542,0.000734517877877943,7.74551177242334,1.5580207412433,1.55728622336542,0.143509602702041,1.55728622336542,3
"5","rnd-5_family-747#Unknown",35.1868874640827,1.11237123873416e-07,2.8423659375775e-05,8.54253132312617,1.21993339673953,0.000428220849920383,8.33367772124278,1.22036161758945,1.21993339673953,0.138954882445644,1.21993339673953,3
"6","rnd-5_family-79#LINE/CR1",35.887139245993,7.91130940396749e-08,2.8423659375775e-05,13.3856797090291,1.90141386031021,0.0108260981225201,5.36402554781565,1.91223995843273,1.90141386031021,0.146194293490276,1.90141386031021,3
"7","rnd-6_family-155#LTR/Pao",34.6002293584899,1.47973244729598e-07,3.19410818266318e-05,27.0073266766886,3.79715584508108,0.061033680160144,4.53284636331146,3.85818952524122,3.79715584508108,0.153305702192224,3.79715584508108,3
"8","rnd-6_family-673#Unknown",34.2068807868447,1.79162909674914e-07,3.38393945648494e-05,30.2726755491962,4.25289101704897,0.0717769185504911,4.90210873636066,4.32466793559946,4.25289101704897,0.143009441541589,4.25289101704897,3
"9","rnd-1_family-338#LINE/CR1",31.0634784830349,8.24284846246954e-07,0.000131570441081233,29.3654590765478,4.0780104825502,0.117055099813767,4.25729688178354,4.19506558236396,4.0780104825502,0.162412538984692,4.0780104825502,3
"10","rnd-1_family-650#Unknown",30.7537509449546,9.57825845065228e-07,0.000131570441081233,5.9491440405419,0.84506340315083,0.00481431692658369,6.00045506764067,0.849877720077414,0.84506340315083,0.148602238130587,0.84506340315083,3
"11","rnd-5_family-188#Unknown",30.7613437920781,9.54307209675679e-07,0.000131570441081233,17.3511726366213,2.4491548811808,0.0295840669079641,4.40691608505338,2.47873894808876,2.4491548811808,0.157871145684404,2.4491548811808,3
"12","rnd-4_family-11#DNA/CMC-EnSpm",30.5624467146682,1.05088096010868e-06,0.000132323427560351,15.2999076524864,2.18529237622463,0.000408716987714292,8.04229653585163,2.18570109321234,2.18529237622463,0.141357721454966,2.18529237622463,3
"13","rnd-5_family-36#LTR/Gypsy",30.1491457303213,1.28387278889563e-06,0.000138566556001522,7.33938342114976,1.04109442871631,0.00738891716223155,5.29245998219542,1.04848334587854,1.04109442871631,0.145412101937862,1.04109442871631,3
"14","rnd-6_family-2673#LTR/Gypsy",30.2268391099409,1.23644887433787e-06,0.000138566556001522,14.6752370862048,2.0804696265621,0.0159928143243037,4.90996273590628,2.0964624408864,2.0804696265621,0.142970646992521,2.0804696265621,3
"15","rnd-5_family-15#DNA/CMC-EnSpm",29.7363993420389,1.56797003357564e-06,0.000157946848048853,12.3339955064873,1.75444555657307,0.00755380149654241,5.31578955291028,1.76199935806961,1.75444555657307,0.14567481391755,1.75444555657307,3
"16","rnd-1_family-243#LINE/CR1",29.0710642151103,2.16373499756424e-06,0.000170011519387671,11.0656147824945,1.55380748219979,0.0269946295851376,4.33706048149132,1.58080211178493,1.55380748219979,0.159877727919709,1.55380748219979,3
"17","rnd-1_family-541#Unknown",29.0406212696944,2.19584359143871e-06,0.000170011519387671,10.134285363761,1.41619724697243,0.0315578049934236,4.24979196411762,1.44775505196585,1.41619724697243,0.162664540719814,1.41619724697243,3
"18","rnd-1_family-613#LINE/CR1",29.1305478017296,2.10234256028784e-06,0.000170011519387671,11.3002366731615,1.58225306004498,0.0320664646923823,4.59675229374334,1.61431952473736,1.58225306004498,0.150749118653705,1.58225306004498,3
"19","rnd-1_family-823#LTR/Gypsy",28.8304560805289,2.43086098092195e-06,0.000170011519387671,7.22425030421561,1.03133755806503,0.00069819968005856,7.89005351874533,1.03203575774509,1.03133755806503,0.142498499989288,1.03133755806503,3
"20","rnd-3_family-389#Unknown",28.6130711936972,2.70038151244481e-06,0.000170011519387671,10.111119127106,1.43349563841776,0.0109499511688222,5.12082380781587,1.44444558958658,1.43349563841776,0.143591231447923,1.43349563841776,3
